host,timestamp,metricType,value
HOST-115AF0E56D335A15,2025-04-26 13:01:00,CPU Usage %,0.7639872233072916
HOST-115AF0E56D335A15,2025-04-26 13:01:00,Disk Usage %,40.028363121880425
HOST-115AF0E56D335A15,2025-04-26 13:01:00,Memory Usage %,37.81281534830729
HOST-115AF0E56D335A15,2025-04-26 13:01:00,readOps Usage %,0.06573325395584106
HOST-115AF0E56D335A15,2025-04-26 13:01:00,writeOps Usage %,6.252622710333931
HOST-115AF0E56D335A15,2025-04-26 13:02:00,CPU Usage %,1.046295166015625
HOST-115AF0E56D335A15,2025-04-26 13:02:00,Disk Usage %,40.02793078952365
HOST-115AF0E56D335A15,2025-04-26 13:02:00,Memory Usage %,37.736246744791664
HOST-115AF0E56D335A15,2025-04-26 13:02:00,readOps Usage %,0.3090603748957316
HOST-115AF0E56D335A15,2025-04-26 13:02:00,writeOps Usage %,6.2779695126745425
HOST-115AF0E56D335A15,2025-04-26 13:03:00,CPU Usage %,1.1142069498697917
HOST-115AF0E56D335A15,2025-04-26 13:03:00,Disk Usage %,40.025577545166016
HOST-115AF0E56D335A15,2025-04-26 13:03:00,Memory Usage %,37.73714701334635
HOST-115AF0E56D335A15,2025-04-26 13:03:00,readOps Usage %,0.03313819939891497
HOST-115AF0E56D335A15,2025-04-26 13:03:00,writeOps Usage %,5.0932722091674805
HOST-115AF0E56D335A15,2025-04-26 13:04:00,CPU Usage %,0.6767679850260416
HOST-115AF0E56D335A15,2025-04-26 13:04:00,Disk Usage %,40.027222103542755
HOST-115AF0E56D335A15,2025-04-26 13:04:00,Memory Usage %,37.70973205566406
HOST-115AF0E56D335A15,2025-04-26 13:04:00,readOps Usage %,0.08251642187436421
HOST-115AF0E56D335A15,2025-04-26 13:04:00,writeOps Usage %,4.581079953246646
HOST-115AF0E56D335A15,2025-04-26 13:05:00,CPU Usage %,1.372467041015625
HOST-115AF0E56D335A15,2025-04-26 13:05:00,Disk Usage %,40.03118642171224
HOST-115AF0E56D335A15,2025-04-26 13:05:00,Memory Usage %,37.73640441894531
HOST-115AF0E56D335A15,2025-04-26 13:05:00,readOps Usage %,0.02506708602110545
HOST-115AF0E56D335A15,2025-04-26 13:05:00,writeOps Usage %,4.79945871565077
HOST-115AF0E56D335A15,2025-04-26 13:06:00,CPU Usage %,3.3170878092447915
HOST-115AF0E56D335A15,2025-04-26 13:06:00,Disk Usage %,40.03296788533529
HOST-115AF0E56D335A15,2025-04-26 13:06:00,Memory Usage %,37.7411142985026
HOST-115AF0E56D335A15,2025-04-26 13:06:00,readOps Usage %,0.0
HOST-115AF0E56D335A15,2025-04-26 13:06:00,writeOps Usage %,6.223776181538899
HOST-115AF0E56D335A15,2025-04-26 13:07:00,CPU Usage %,0.83087158203125
HOST-115AF0E56D335A15,2025-04-26 13:07:00,Disk Usage %,40.032464345296226
HOST-115AF0E56D335A15,2025-04-26 13:07:00,Memory Usage %,37.729044596354164
HOST-115AF0E56D335A15,2025-04-26 13:07:00,readOps Usage %,0.3095082640647888
HOST-115AF0E56D335A15,2025-04-26 13:07:00,writeOps Usage %,5.830370015568203
HOST-115AF0E56D335A15,2025-04-26 13:08:00,CPU Usage %,0.9011942545572916
HOST-115AF0E56D335A15,2025-04-26 13:08:00,Disk Usage %,40.030145009358726
HOST-115AF0E56D335A15,2025-04-26 13:08:00,Memory Usage %,37.72032674153646
